year,show_title,week_gross,avg_ticket,top_ticket,seats_sold,seats_in_theater,num_performances,capacity_filled
1985,Sunday in the Park with George,"$147,551.00",$24.74,$0.00,"5,965",771,8,96.71%
1985,The Tap Dance Kid,"$176,316.00",$27.46,$0.00,"6,421","1,621",8,49.51%
1985,Big River,"$255,386.00",$31.96,$0.00,"7,992","1,018",8,98.13%
1985,Biloxi Blues,"$306,839.00",$28.33,$0.00,"10,831","1,336",8,101.34%
1985,Brighton Beach Memoirs,"$107,392.00",$18.93,$0.00,"5,672","1,368",8,51.83%
1985,Cats,"$461,880.00",$38.35,$0.00,"12,043","1,482",8,101.58%
1985,A Chorus Line,"$222,584.00",$27.25,$0.00,"8,167","1,472",8,69.35%
1985,The King and I,"$407,169.00",$40.84,$0.00,"9,969","1,765",8,70.60%
1985,La Cage aux Folles,"$408,860.00",$34.30,$0.00,"11,921","1,683",8,88.54%
1985,Leader of the Pack,"$122,005.00",$23.42,$0.00,"5,210","1,083",8,60.13%
1985,The Odd Couple,"$91,056.00",$24.17,$0.00,"3,768","1,181",0,39.88%
1985,Oh! Calcutta!,"$32,330.00",$14.22,$0.00,"2,273",499,9,50.61%
1985,Singin' in the Rain,"$243,424.00",$24.05,$0.00,"10,120","1,933",0,65.44%
1985,Sunday in the Park with George,"$153,364.00",$31.43,$0.00,"4,880",771,8,79.12%
1985,The Tap Dance Kid,"$178,556.00",$26.78,$0.00,"6,667","1,621",8,51.41%
1985,42nd Street,"$298,993.00",$29.14,$0.00,"10,260","1,655",8,77.49%
1985,Arms and the Man,"$75,553.00",$19.49,$0.00,"3,876",682,8,71.04%
1985,As Is,"$71,798.00",$16.24,$0.00,"4,421",684,8,80.79%
1985,42nd Street,"$252,046.00",$29.29,$0.00,"8,606","1,655",8,65.00%
1985,Big River,"$296,883.00",$36.18,$0.00,"8,206","1,018",8,100.76%
1985,Biloxi Blues,"$288,256.00",$26.73,$0.00,"10,786","1,336",8,100.92%
1985,Brighton Beach Memoirs,"$106,670.00",$17.80,$0.00,"5,992","1,368",8,54.75%
1985,Cats,"$466,630.00",$38.82,$0.00,"12,019","1,482",8,101.37%
1985,A Chorus Line,"$221,924.00",$28.39,$0.00,"7,818","1,472",8,66.39%
1985,La Cage aux Folles,"$408,931.00",$34.54,$0.00,"11,841","1,683",8,87.95%
1985,The Odd Couple,"$164,469.00",$25.48,$0.00,"6,456","1,181",8,68.33%
1985,Oh! Calcutta!,"$30,558.00",$14.23,$0.00,"2,147",499,9,47.81%
1985,Singin' in the Rain,"$224,685.00",$30.16,$0.00,"7,449","1,933",8,48.17%
1985,Sunday in the Park with George,"$124,033.00",$28.74,$0.00,"4,315",771,8,69.96%
1985,The Tap Dance Kid,"$141,957.00",$26.42,$0.00,"5,374","1,621",8,41.44%
1985,Aren't We All?,"$213,901.00",$31.77,$0.00,"6,732","1,088",8,77.34%
1985,Arms and the Man,"$61,130.00",$20.73,$0.00,"2,949",682,8,54.05%
1985,As Is,"$74,784.00",$17.08,$0.00,"4,379",684,8,80.03%
1985,Big River,"$285,309.00",$34.93,$0.00,"8,169","1,018",8,100.31%
1985,Biloxi Blues,"$288,929.00",$27.86,$0.00,"10,369","1,336",8,97.02%
1985,Brighton Beach Memoirs,"$94,826.00",$18.58,$0.00,"5,103","1,368",8,46.63%
1985,Cats,"$470,452.00",$39.14,$0.00,"12,020","1,482",8,101.38%
1985,A Chorus Line,"$192,005.00",$29.30,$0.00,"6,552","1,472",8,55.64%
1985,La Cage aux Folles,"$402,772.00",$34.43,$0.00,"11,700","1,683",8,86.90%
1985,Leader of the Pack,"$94,973.00",$19.58,$0.00,"4,851","1,083",8,55.99%
1985,The Odd Couple,"$163,507.00",$23.03,$0.00,"7,100","1,181",8,75.15%
1985,Oh! Calcutta!,"$31,947.00",$14.22,$0.00,"2,247",499,9,50.03%
1985,Singin' in the Rain,"$135,628.00",$29.91,$0.00,"4,535","1,933",8,29.33%
1985,Sunday in the Park with George,"$122,045.00",$26.60,$0.00,"4,588",771,8,74.38%
1985,The Tap Dance Kid,"$127,208.00",$27.30,$0.00,"4,659","1,621",8,35.93%
1985,42nd Street,"$235,685.00",$28.44,$0.00,"8,288","1,655",8,62.60%
1985,Aren't We All?,"$177,952.00",$29.89,$0.00,"5,953","1,088",8,68.39%
1985,Arms and the Man,"$79,715.00",$20.39,$0.00,"3,910",682,8,71.66%
