show_title,type,genre,rating,fixed_sent,article_score,article_subj,year,week_gross,avg_ticket,top_ticket,seats_sold,seats_in_theater,num_performances,capacity_filled
Just For Us,other,comedy,5.0,1.0,0.135,0.48000000000000004,2023.0,473374.0,75.84333333333333,179.0,6030.222222222223,904.5555555555555,6.666666666666667,92.62
Kimberly Akimbo,play,dark_comedy,4.5,1.0,0.185,0.545,2022.78,539817.8768,98.5064,269.8,5479.96,773.0,7.28,89.5414
Kinky Boots,musical,contemporary,4.0,1.0,0.13,0.39,2015.7183544303798,999293.5459177215,104.68712025316455,299.0180696202532,9339.14240506329,1424.0,7.85126582278481,82.41889240506329
La Bohème,musical,comedy,5.0,1.0,0.18,0.46,2002.8387096774193,670126.4838709678,72.95935483870967,100.76612903225806,9190.516129032258,1704.741935483871,7.354838709677419,69.26935483870967
Lackawanna Blues,play,other_genre,5.0,1.0,0.060000000000000005,0.44999999999999996,2021.0,114814.88888888889,50.87444444444444,50.87444444444444,2228.8888888888887,620.0,3.0,71.78333333333333
Latin History for Morons,other,comedy,4.0,1.0,0.07,0.48000000000000004,2017.388888888889,500528.4111111111,94.59222222222223,248.66666666666666,5312.333333333333,1004.0,5.388888888888889,81.57666666666665
Leopoldstadt,play,drama,5.0,1.0,0.2,0.54,2022.642857142857,778716.100952381,121.63690476190476,348.8333333333333,6282.476190476191,1075.0,7.4523809523809526,73.94119047619049
Life of Pi,play,drama,4.0,1.0,0.1,0.38,2023.0,503170.3915,78.9425,272.5,6381.55,981.0,6.65,84.337
Mean Girls,musical,comedy,4.0,1.0,0.08,0.51,2018.6990291262136,1193533.4798058253,125.61252427184466,297.8203883495146,9435.485436893205,1225.0,7.776699029126213,96.40466019417477
Merrily We Roll Along,musical,drama,4.0,1.0,0.14,0.52,2023.0,1304508.0,225.07,499.0,5796.0,966.0,0.0,100.0
Miss Saigon,musical,drama,4.0,1.0,0.12,0.4699999999999999,1997.407871198569,574257.9060286226,49.39454382826476,78.72785330948122,11734.227191413238,1737.923076923077,7.899821109123435,84.52273703041145
Mrs. Warren's Profession,play,drama,4.0,1.0,0.14,0.41000000000000003,2010.0,224421.6923076923,51.97461538461538,51.97461538461538,4323.153846153846,740.0,5.0,76.31846153846153
My Name is Lucy Barton,play,drama,4.0,1.0,0.15,0.51,2020.0,476646.78888888884,117.30555555555556,299.0,4019.8888888888887,646.0,5.222222222222222,98.02222222222223
Ohio State Murders,play,drama,4.0,1.0,0.1,0.43,2022.3,294287.186,69.292,223.0,4238.9,1070.0,4.4,54.090999999999994
Parade,musical,drama,5.0,1.0,0.1,0.44,2013.6153846153845,797753.698974359,103.69307692307693,223.02564102564102,7340.25641025641,1046.923076923077,6.512820512820513,89.83333333333333
Pass Over,play,drama,5.0,1.0,0.09,0.4699999999999999,2021.0,182920.2,42.199,42.199,4530.6,1273.5,5.7,47.588
Peter Pan Goes Wrong,play,comedy,4.0,1.0,0.10999999999999999,0.55,2023.0,581549.3547368421,90.74315789473684,206.47368421052633,6326.684210526316,1047.6315789473683,5.842105263157895,77.07789473684211
Pictures From Home,play,comedy,4.0,1.0,0.17,0.42,2023.0,343690.22,74.215,297.0,4667.0,807.0,5.375,79.811875
Plaza Suite,play,comedy,4.0,1.0,0.18,0.57,2022.0,1442841.7625,207.2585,499.812,6988.15,975.0,5.5,98.5635
Prima Facie,play,drama,4.0,1.0,0.05000000000000001,0.45,2023.0,995539.1441666667,159.31833333333333,309.25,6252.666666666667,802.0,6.833333333333333,97.46249999999999
Shucked,musical,comedy,4.0,1.0,0.22,0.54,2023.0,670663.3068965516,79.51724137931035,179.0,8411.965517241379,1171.0,6.862068965517241,91.92862068965516
Skeleton Crew,play,drama,5.0,1.0,0.06,0.46,2022.0,160411.42857142858,37.75714285714286,37.75714285714286,4003.1428571428573,575.0,4.285714285714286,92.60000000000001
Slava's Snowshow,other,contemporary,5.0,1.0,0.22,0.57,2014.923076923077,415713.39230769227,81.5123076923077,178.8846153846154,5111.307692307692,871.5384615384615,7.461538461538462,71.05
Slave Play,musical,satire,5.0,1.0,0.11,0.39,2019.892857142857,361580.14,67.75750000000001,176.35,5088.428571428572,939.8928571428571,6.357142857142857,75.02857142857144
Some Like It Hot,musical,comedy,4.0,1.0,0.18,0.54,2022.8297872340424,839929.6736170212,95.78,263.70212765957444,8754.382978723404,1448.0,7.0,76.34042553191489
Summer: The Donna Summer Musical,musical,jukebox,4.0,1.0,0.12,0.5,2018.0,787263.0,97.107,264.5,8042.1,1470.0,7.2,69.727
Sweeney Todd,musical,classic,4.0,1.0,0.11,0.47,2006.1203703703704,698704.4157407408,86.23342592592591,203.38064814814814,6538.101851851852,1074.8703703703704,6.583333333333333,79.66203703703704
The Book of Mormon,musical,comedy,5.0,1.0,0.15,0.51,2016.4165202108964,1327915.043128295,153.8513181019332,408.57256590509667,8587.207381370827,1062.5571177504394,7.938488576449912,101.1684007029877
The Cottage,play,comedy,4.0,1.0,0.13,0.53,2023.0,294090.3,83.41416666666667,222.0,3516.4166666666665,581.0,5.916666666666667,82.96249999999999
The Crucible,play,classic,4.0,1.0,0.04,0.57,2007.780487804878,489663.89756097563,73.39658536585367,253.84560975609756,6747.390243902439,1077.5365853658536,6.097560975609756,84.70439024390244
The Height of the Storm,play,drama,4.0,1.0,0.11999999999999998,0.49,2019.0,287432.86363636365,74.94636363636363,279.0,3843.7272727272725,643.0,6.545454545454546,75.66636363636364
The Inheritance,play,comedy,5.0,1.0,0.20000000000000004,0.45,2019.4166666666667,454338.585,92.30291666666666,338.6666666666667,4898.291666666667,1049.25,5.416666666666667,64.78041666666667
The Kite Runner,play,drama,4.0,1.0,0.17,0.49,2022.0,326969.3294117647,95.38117647058823,208.76470588235293,3436.5882352941176,581.0,6.882352941176471,75.14999999999999
The Lehman Trilogy,play,drama,4.0,1.0,0.13,0.52,2021.0,841734.90625,135.944375,150.568125,6250.75,1148.375,5.125,88.353125
The Little Prince,musical,fam_friendly,4.0,1.0,0.13,0.54,2022.0,314765.2033333333,60.835,262.0,5814.833333333333,1562.6666666666667,5.333333333333333,48.25
The Music Man,musical,classic,4.0,1.0,0.17,0.53,2008.5655172413792,1421801.222827586,135.32531034482759,256.19841379310344,9379.537931034483,1402.6206896551723,7.393103448275862,84.43296551724139
The Phantom of the Opera,musical,drama,5.0,1.0,0.19,0.55,2004.4254711593376,777918.7251798972,68.24350085665334,140.29194174757282,11487.165619645917,1607.592804111936,7.964020559680183,89.59879497430039
The Piano Lesson,play,drama,5.0,1.0,0.16,0.535,2000.1147540983607,387483.56459016394,56.288032786885246,111.56622950819673,6479.180327868852,978.2786885245902,7.409836065573771,82.81754098360656
The Play That Goes Wrong,play,comedy,4.0,1.0,0.060000000000000005,0.48000000000000004,2017.5684210526315,357809.15115789475,68.26157894736842,197.86315789473684,5219.726315789474,857.4105263157895,7.673684210526316,76.564
The Search for Signs of Intelligent Life in the Universe,other,other_genre,4.0,1.0,0.13,0.57,1990.7710843373493,204425.98795180724,34.079518072289154,39.82819277108433,6455.674698795181,975.722891566265,6.927710843373494,89.96156626506024
The Sign in Sidney Brustein's Window,play,drama,4.0,1.0,0.12,0.52,2023.0,529788.812,84.437,337.0,6298.5,1069.0,7.7,73.649
The Sound Inside,play,drama,4.0,1.0,0.24000000000000002,0.56,2019.111111111111,462739.5611111111,86.49888888888889,275.0,5342.833333333333,998.0,5.555555555555555,71.15777777777777
The Thanksgiving Play,play,satire,4.0,1.0,0.13,0.48,2023.0,206753.28666666665,63.318333333333335,193.16666666666666,3287.5833333333335,581.0,5.083333333333333,75.41416666666667
Thoughts of a Colored Man,play,drama,4.0,1.0,0.01,0.52,2021.0,295353.9623076923,77.20846153846153,77.20846153846153,3803.230769230769,802.0,5.923076923076923,68.8
Titanic,musical,historical,4.0,1.0,0.21,0.55,1997.75,543019.6057692308,52.78317307692308,75.24038461538461,10135.288461538461,1475.0,7.653846153846154,86.96240384615385
Topdog/Underdog,play,dark_comedy,5.0,1.0,0.08,0.48,2010.5,262656.7847368421,55.225,150.0921052631579,4914.4473684210525,979.7368421052631,6.447368421052632,62.948157894736845
Trouble in Mind,play,drama,5.0,1.0,0.02,0.36,2021.1818181818182,155797.52272727274,45.25909090909091,45.25909090909091,3367.3636363636365,727.0,5.2727272727272725,65.99363636363636
"Twilight: Los Angeles, 1992",play,other_genre,4.0,1.0,0.04,0.42999999999999994,1994.0,100611.18181818182,26.50272727272727,26.50272727272727,3797.2727272727275,1104.0,6.545454545454546,50.95
What the Constitution Means to Me,other,comedy,5.0,1.0,0.12,0.43,2019.0,471905.48833333334,106.82375,197.0,4392.416666666667,583.0,6.833333333333333,98.29875
